WN;BRI1_1C;BRI1_1E;BRI1_2C;BRI1_2E;BRI1_3C;BRI1_3E;BRI1_4C;BRI1_4E;BRI1_5C;BRI1_5E;BRI2_1C;BRI2_1E;BRI2_1RC ;BRI2_1RE;BRI2_2C;BRI2_2E;BRI2_3C;BRI2_3E;BRI2_4C;BRI2_4E;BRI2_5C;BRI2_5E;BRI3_1C;BRI3_1E;BRI3_2C;BRI3_2E;BRI3_3C;BRI3_3E;BRI3_4C;BRI3_4E;BRI3_5C;BRI3_5E
432,371189;0,092152;0,131547;0,082141;0,102947;0,089484;0,113072;0,099468;0,081688;0,087262;0,117543;0,085897;0,109935;0,071407;0,106652;0,094845;0,128374;0,100615;0,114672;0,092584;0,101942;0,085141;0,130106;0,09226;0,118359;0,107576;0,12479;0,099349;0,117974;0,1009;0,110535;0,063427;0,125437
434,234858;0,092682;0,132974;0,083629;0,105419;0,090338;0,115298;0,100772;0,082095;0,088603;0,118397;0,086658;0,110835;0,073051;0,107338;0,100763;0,13016;0,101515;0,116363;0,094139;0,103428;0,087521;0,130587;0,095608;0,11983;0,109242;0,125394;0,100385;0,118872;0,102845;0,110783;0,064139;0,127533
436,098527;0,093538;0,134615;0,085029;0,107124;0,090562;0,117419;0,102006;0,08288;0,089785;0,118557;0,086962;0,112475;0,073963;0,108238;0,10465;0,131982;0,102641;0,1183;0,095187;0,105369;0,089265;0,131444;0,097595;0,121564;0,110852;0,126213;0,101392;0,120098;0,103796;0,111676;0,064722;0,129391
437,962196;0,094883;0,136314;0,086162;0,107883;0,090829;0,119258;0,103028;0,083968;0,090535;0,118831;0,087323;0,114738;0,074434;0,10938;0,10509;0,133768;0,104283;0,120094;0,095794;0,107331;0,09018;0,132855;0,098032;0,123325;0,112102;0,127615;0,102498;0,121745;0,103982;0,113322;0,065108;0,130714
439,825865;0,096617;0,137896;0,087048;0,107984;0,091683;0,120768;0,103832;0,085085;0,090888;0,119803;0,087993;0,117166;0,074811;0,110763;0,103123;0,135401;0,106323;0,121421;0,09636;0,109001;0,090555;0,134655;0,097653;0,124824;0,11298;0,129396;0,103836;0,123732;0,10391;0,115421;0,065513;0,131489
441,689534;0,098505;0,139323;0,087876;0,108038;0,093267;0,122074;0,104566;0,085968;0,09114;0,121584;0,088896;0,119259;0,075325;0,11241;0,101342;0,136847;0,10838;0,122256;0,09739;0,110375;0,090925;0,136575;0,097573;0,125969;0,113754;0,131034;0,105456;0,125882;0,104111;0,1175;0,066248;0,132025
443,553203;0,100352;0,140741;0,088858;0,10866;0,095281;0,123406;0,10544;0,086557;0,09166;0,123857;0,089799;0,120778;0,076043;0,114342;0,102003;0,138197;0,110113;0,122925;0,099167;0,111692;0,091726;0,13849;0,098536;0,126966;0,114775;0,132156;0,107283;0,12803;0,104941;0,119228;0,067457;0,132801
445,416872;0,102109;0,142387;0,090085;0,110147;0,097192;0,124956;0,106595;0,087043;0,092668;0,126144;0,090562;0,121869;0,076931;0,116499;0,105502;0,139616;0,111459;0,123924;0,101529;0,113207;0,093052;0,14049;0,100467;0,128205;0,116243;0,132854;0,109139;0,130073;0,106481;0,120586;0,068993;0,134214
447,28054;0,103819;0,144409;0,091474;0,11234;0,098555;0,126746;0,108024;0,087724;0,09413;0,1281;0,091254;0,12293;0,077932;0,118699;0,110233;0,141239;0,112637;0,125633;0,103949;0,11498;0,094648;0,142756;0,102604;0,130008;0,118091;0,13363;0,110834;0,131966;0,108569;0,121807;0,07051;0,136352
449,144209;0,105507;0,146753;0,092836;0,114749;0,099269;0,128592;0,109607;0,088802;0,095812;0,129673;0,092086;0,124333;0,079007;0,120685;0,11382;0,143096;0,113942;0,128081;0,105845;0,116837;0,096133;0,145342;0,104112;0,132405;0,120063;0,135035;0,112273;0,133694;0,110906;0,123162;0,071708;0,138946
451,007878;0,10709;0,149194;0,09402;0,116865;0,09963;0,130231;0,11121;0,090245;0,097451;0,131074;0,093225;0,126197;0,080133;0,122266;0,114801;0,145133;0,115503;0,130932;0,10695;0,118529;0,097276;0,148069;0,104713;0,135101;0,12191;0,137258;0,113513;0,135258;0,113198;0,124761;0,07255;0,141533
452,871547;0,108424;0,151509;0,095027;0,118471;0,100161;0,131519;0,112784;0,091824;0,098919;0,13262;0,094665;0,128358;0,081282;0,123454;0,113582;0,147298;0,117202;0,133694;0,1075;0,119947;0,098148;0,150608;0,104905;0,137667;0,12356;0,139993;0,11473;0,136709;0,115265;0,126517;0,073283;0,143727
454,735216;0,109426;0,153657;0,096011;0,119758;0,101315;0,132586;0,114385;0,093277;0,100277;0,134547;0,096235;0,130529;0,082429;0,124493;0,112044;0,14961;0,118791;0,135997;0,108086;0,12125;0,099048;0,152703;0,105621;0,139805;0,125147;0,142651;0,11611;0,138173;0,117076;0,128277;0,074247;0,145443
456,598885;0,110197;0,155824;0,097171;0,121179;0,103227;0,133809;0,116114;0,094494;0,101691;0,13689;0,097727;0,13252;0,083569;0,125752;0,112159;0,152146;0,12011;0,13779;0,10929;0,122773;0,10027;0,154366;0,107557;0,141534;0,126874;0,144762;0,117729;0,139839;0,118706;0,129983;0,075613;0,14692
458,462554;0,111007;0,158287;0,098605;0,123134;0,105635;0,1356;0,118016;0,095575;0,103268;0,139472;0,099044;0,134359;0,08473;0,127513;0,114624;0,154938;0,121225;0,139316;0,111311;0,124796;0,101874;0,155884;0,110652;0,143141;0,128828;0,146277;0,119494;0,141865;0,120248;0,131735;0,077229;0,148541
460,326223;0,112148;0,161169;0,100225;0,125673;0,108019;0,138138;0,120022;0,096724;0,104937;0,141983;0,100233;0,136221;0,085952;0,129795;0,118462;0,157869;0,122378;0,140905;0,113822;0,127307;0,103613;0,157626;0,114077;0,144961;0,130873;0,147549;0,121189;0,144261;0,121717;0,133692;0,078684;0,150561
462,189892;0,113733;0,164273;0,101789;0,128424;0,109871;0,141203;0,121968;0,098065;0,106453;0,144103;0,101394;0,138245;0,08723;0,132318;0,121792;0,160645;0,123778;0,142737;0,116154;0,129937;0,105079;0,159771;0,116726;0,147105;0,132707;0,14903;0,1226;0,146821;0,123025;0,13588;0,079568;0,152918
464,053561;0,115592;0,167115;0,103037;0,130773;0,110949;0,144247;0,123672;0,099514;0,107521;0,145626;0,102542;0,140376;0,088473;0,134632;0,123186;0,162911;0,125414;0,144728;0,117686;0,132126;0,105952;0,162147;0,117894;0,149349;0,134043;0,150899;0,123629;0,149174;0,12402;0,138086;0,079723;0,155255
465,91723;0,11734;0,169155;0,103833;0,132199;0,111366;0,146657;0,12502;0,100796;0,107953;0,146533;0,103538;0,142349;0,089515;0,136343;0,12262;0,164437;0,127013;0,146597;0,118189;0,133418;0,1062;0,164301;0,117677;0,151246;0,13479;0,152902;0,12434;0,15094;0,124585;0,139913;0,079347;0,157127
467,780899;0,118578;0,1701;0,104224;0,132558;0,111491;0,148068;0,125989;0,101612;0,107773;0,14698;0,104164;0,143834;0,090186;0,137299;0,121378;0,165247;0,128207;0,14806;0,117925;0,133709;0,106087;0,165758;0,116842;0,152391;0,135112;0,154511;0,124891;0,151917;0,124727;0,141006;0,078864;0,158252
469,644567;0,119114;0,170069;0,104387;0,132144;0,111704;0,148521;0,126612;0,101824;0,107189;0,14722;0,104278;0,144639;0,090411;0,137617;0,121051;0,165612;0,128776;0,148996;0,117447;0,133292;0,105998;0,166296;0,116287;0,152675;0,135315;0,155289;0,125418;0,152182;0,124599;0,141272;0,078651;0,158656
471,508236;0,119048;0,16952;0,1045;0,131508;0,112178;0,148379;0,126917;0,101546;0,10647;0,147478;0,103958;0,144815;0,090277;0,13758;0,12237;0,165874;0,128802;0,149484;0,117249;0,132687;0,106193;0,166073;0,116456;0,152351;0,135656;0,155197;0,125935;0,152039;0,124444;0,140962;0,078824;0,158614
473,371905;0,118686;0,168996;0,104634;0,131146;0,112794;0,148084;0,126904;0,101073;0,105811;0,147849;0,103503;0,144626;0,090005;0,137454;0,124723;0,166239;0,128621;0,14971;0,117495;0,132363;0,106664;0,165528;0,117116;0,151902;0,136194;0,15464;0,126337;0,151855;0,124476;0,140541;0,079207;0,15846
475,235574;0,118358;0,168854;0,104739;0,131273;0,113261;0,147911;0,126585;0,100704;0,105268;0,148277;0,103293;0,14439;0,089851;0,137378;0,126664;0,166673;0,128619;0,149828;0,117995;0,132519;0,10717;0,165148;0,117618;0,151773;0,136783;0,154225;0,126503;0,151872;0,124793;0,140428;0,079495;0,158395
